case,method,min_interval,max_interval,nominal_min_rate,nominal_max_rate,n_total,n_sampled,sample_ratio,max_gap,mean_gap,p95_gap,nrmse_mean,correlation,peak_recall_top1,peak_recall_top2,peak_recall_top5,peak_recall_top10,peak_recall_top20
redis_tx_bytes,omniflow,4,20,0.05,0.25,1604068,304995,0.19013844799597024,20,5.2592805104362705,9.0,0.015335549561636503,0.38850138600158485,0.17649625935162094,0.19104766060908326,0.21272271610787627,0.22242933556101394,0.22531505892841
redis_tx_bytes,huang_wavelet_rate_inspired,4,20,0.05,0.25,1604068,401017,0.25,5,4.000007480998264,5.0,0.014680904605869015,0.47895504449486276,0.24962593516209478,0.24877653439730682,0.2474595713377305,0.24792090071443712,0.24951919030712597
redis_tx_bytes,magalhaes_truncated_exponential_inspired,4,20,0.05,0.25,1604068,125404,0.07817873057750668,20,12.791280910345048,20.0,0.015738938294565238,0.2885495004548468,0.06197007481296758,0.06321498706399427,0.0825156166228196,0.08919242422353278,0.09171386446309844
redis_tx_bytes,fixed_slow_boundary,4,20,0.05,0.25,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,4,20,0.05,0.25,1604068,401017,0.25,4,4.0,4.0,0.014558179836588605,0.4896607610294323,0.24875311720698254,0.24968049624388267,0.2513995735820356,0.2500716930788125,0.24925112136976993
redis_tx_bytes,omniflow,3,20,0.05,0.3333333333333333,1604068,366867,0.22871037886174403,20,4.372323954795484,8.0,0.014732346418308343,0.4327196949438465,0.21253117206982544,0.2252423552881768,0.26351882099173346,0.2783499370347743,0.2808676705744468
redis_tx_bytes,huang_wavelet_rate_inspired,3,20,0.05,0.3333333333333333,1604068,548171,0.34173800611944133,5,2.9262217925096228,3.0,0.013131964831903428,0.5932335934537952,0.3481296758104738,0.3425080265577756,0.3440519681308679,0.3430170941236612,0.343496055334416
redis_tx_bytes,magalhaes_truncated_exponential_inspired,3,20,0.05,0.3333333333333333,1604068,133472,0.08320844253485513,20,12.017988926433457,20.0,0.015722304468926043,0.290970539307192,0.06783042394014963,0.06873227143792275,0.09172973579541913,0.09835043576923556,0.10027336797448981
redis_tx_bytes,fixed_slow_boundary,3,20,0.05,0.3333333333333333,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,3,20,0.05,0.3333333333333333,1604068,534690,0.33333374894331164,3,3.0,3.0,0.01330252162202223,0.5836105516777178,0.3375311720698254,0.33459056762569744,0.3342892410508335,0.33354737353964314,0.3335556850875744
